rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,time/fps,time/iterations,train/value_loss,train/entropy_loss,train/approx_kl
1000.0,4,10240,0.00025,0.5025815367698669,-0.04489643906708807,0.636328125,0.136339470744133,28.282754800000003,0.5590039491653442,90,0.2,2488,10,1.5279917258769273,3.4419870018959045,0.24444619
1000.0,8,20480,0.00025,0.8011295199394226,-0.011335478216642514,0.70986328125,0.13700607419013977,65.00262125,1.9784600734710693,190,0.2,2464,20,3.5940916299819947,3.4173274025321008,0.5023657
1000.0,12,30720,0.00025,0.7358554601669312,-0.03387819419149309,0.66865234375,0.13739193975925446,149.4512821,7.331350326538086,290,0.2,2452,30,18.128179448843003,3.3984916374087333,0.22659528
1000.0,16,40960,0.00025,0.6666261553764343,-0.006615702912677079,0.7587890625,0.137778639793396,179.80340289999998,10.842185974121094,390,0.2,2442,40,20.61508880853653,3.3823573127388955,0.4686137
1000.0,21,51200,0.00025,0.5758994817733765,0.021664199529914184,0.787890625,0.1393224447965622,177.75683460784313,5.159562587738037,490,0.2,2423,50,12.94166583120823,3.321447728574276,0.75266653
1000.0,25,61440,0.00025,0.7154617309570312,-0.026723211794160307,0.7423828125,0.14147967100143433,213.1758246557377,7.05519962310791,590,0.2,2402,60,22.211711156368256,3.2204772591590882,0.44988477
1000.0,29,71680,0.00025,0.7034097909927368,-0.03662920556380413,0.70673828125,0.1417638212442398,242.26487754929582,7.281564712524414,690,0.2,2411,70,15.740543070435525,3.20641560703516,0.3428313
1000.0,33,81920,0.00025,0.6655200719833374,-0.04062668374972418,0.73525390625,0.1398915797472,239.6637121111111,11.934842109680176,790,0.2,2430,80,25.280521476268767,3.2778149485588073,0.43941224
1000.0,37,92160,0.00025,0.6767592430114746,-0.042546401941217483,0.7224609375,0.13999973237514496,265.5002854347826,13.949640274047852,890,0.2,2449,90,26.57012982368469,3.2810461595654488,0.30971366
1000.0,41,102400,0.00025,0.6721000671386719,0.0012760352052282541,0.77060546875,0.13961505889892578,298.92953025,17.062715530395508,990,0.2,2464,100,29.453208392858507,3.300446146726608,1.7203214
1000.0,45,112640,0.00025,0.7755309343338013,-0.036623430726467635,0.71494140625,0.14178383350372314,322.92784773000005,16.75634002685547,1090,0.2,2476,110,29.933723831176756,3.206066904962063,0.2661776
1000.0,49,122880,0.00025,0.860984206199646,-0.06443198986817152,0.67919921875,0.14090308547019958,335.7632335,20.681800842285156,1190,0.2,2486,120,54.56140275001526,3.2406022235751153,0.26698783
1000.0,53,133120,0.00025,0.6298199892044067,-0.02365401419228874,0.7400390625,0.14152926206588745,303.22929293,13.339165687561035,1290,0.2,2495,130,27.6715027153492,3.227651257812977,0.4444862
1000.0,57,143360,0.00025,0.8117331862449646,-0.03329644011100754,0.76240234375,0.1409747302532196,312.70437562,10.309428215026855,1390,0.2,2503,140,26.561222690343858,3.255905646085739,0.70528924
1000.0,61,153600,0.00025,0.8573893308639526,-0.02883221920346841,0.73779296875,0.1408747136592865,336.77860199,7.243691921234131,1490,0.2,2508,150,20.668296486139297,3.2437013268470762,1.3904479
1000.0,65,163840,0.00025,0.8010294437408447,-0.051531775965122505,0.6984375,0.14000098407268524,342.25823774,10.812087059020996,1590,0.2,2515,160,29.405199652910234,3.2767683401703835,0.7855599
1000.0,69,174080,0.00025,0.8693437576293945,0.00407560575986281,0.72158203125,0.1393178254365921,350.19158996000004,2.902205228805542,1690,0.2,2519,170,7.0147264555096625,3.302784891426563,1.1837064
1000.0,73,184320,0.00025,0.8321502208709717,0.028750342235434802,0.825390625,0.13877974450588226,375.3008588,10.235182762145996,1790,0.2,2514,180,23.99353414773941,3.3296511694788933,4.7231216
1000.0,77,194560,0.00025,0.7666926980018616,-0.011105179571313784,0.76904296875,0.13794831931591034,361.10662935999994,12.59664535522461,1890,0.2,2518,190,23.675488650798798,3.383182868361473,0.9998628
1000.0,81,204800,0.00025,0.7835533618927002,0.01038008377654478,0.71044921875,0.13906516134738922,391.25732237000005,21.41518211364746,1990,0.2,2519,200,55.86130609512329,3.341169449687004,0.47238642
1000.0,85,215040,0.00025,0.7417647242546082,-0.008564970339648426,0.70595703125,0.13888876140117645,403.99387548000004,20.438121795654297,2090,0.2,2520,210,43.99624438285828,3.346261078119278,0.5128938
1000.0,89,225280,0.00025,0.7011505365371704,-0.04561317983316258,0.69873046875,0.13708074390888214,460.54997844999997,12.504168510437012,2190,0.2,2520,220,32.72985599040985,3.4164862781763077,0.5354059
1000.0,93,235520,0.00025,0.9785645604133606,-0.004128580188262276,0.635546875,0.13698922097682953,544.91482273,4.334591865539551,2290,0.2,2523,230,12.035396149754524,3.4048684626817702,0.6828736
1000.0,97,245760,0.00025,0.9690802097320557,-0.004713185894070193,0.64736328125,0.1365051418542862,572.13756028,9.03678035736084,2390,0.2,2527,240,33.7962292432785,3.4468857914209368,1.118813
1000.0,101,256000,0.00025,0.7483234405517578,0.006860337260877714,0.7275390625,0.1354425698518753,637.07442585,15.121037483215332,2490,0.2,2530,250,42.33087161779404,3.4909802243113517,0.45986405
1000.0,105,266240,0.00025,0.724577784538269,0.001692853419808671,0.771484375,0.13467754423618317,699.6563259699999,11.276041030883789,2590,0.2,2533,260,28.96354734301567,3.5109042078256607,12.154769
1000.0,109,276480,0.00025,0.9512521624565125,-0.0037514965835725887,0.53857421875,0.13266973197460175,727.6281588899999,8.935722351074219,2690,0.2,2535,270,29.457877033948897,3.595864751935005,2.5157382
1000.0,113,286720,0.00025,0.7609182596206665,-0.021881197027687448,0.73681640625,0.1333235502243042,787.56838294,22.1995849609375,2790,0.2,2532,280,35.56649557352066,3.5915752783417703,0.7210722
1000.0,117,296960,0.00025,0.9750108122825623,-0.004523275053361431,0.5529296875,0.1329459398984909,856.3782843000001,12.608661651611328,2890,0.2,2531,290,17.693656685948373,3.581470863521099,1.0773923
1000.0,121,307200,0.00025,0.8857235908508301,-0.05816631604684517,0.68720703125,0.131116583943367,849.45424424,16.794296264648438,2990,0.2,2532,300,32.55102672576904,3.6750192239880564,0.5456654
1000.0,125,317440,0.00025,0.7504565715789795,0.0323968927084934,0.731640625,0.1309305876493454,906.1970310400002,16.417652130126953,3090,0.2,2533,310,43.52466368675232,3.6871090665459634,2.849687
1000.0,129,327680,0.00025,0.9321599006652832,-0.01139444294385612,0.66142578125,0.13008011877536774,932.01445447,16.500925064086914,3190,0.2,2537,320,53.705241441726685,3.734247997403145,0.42480305
1000.0,133,337920,0.00025,0.9230004549026489,-0.025052239070646465,0.67392578125,0.12976740300655365,933.06196054,22.256519317626953,3290,0.2,2538,330,44.21205121278763,3.7445704877376556,0.3747291
1000.0,137,348160,0.00025,0.9144265055656433,-0.008151145084411837,0.7958984375,0.12985795736312866,878.8364118200001,14.693900108337402,3390,0.2,2540,340,27.95085037946701,3.738048130273819,0.9943958
1000.0,140,358400,0.00025,0.9609196186065674,0.07478557917638681,0.704296875,0.1281590312719345,818.72781583,19.342132568359375,3490,0.2,2542,350,37.95835421085358,3.8266657054424287,2.909031
1000.0,144,368640,0.00025,0.9736819267272949,0.01678668154636398,0.80693359375,0.1277332454919815,791.83963163,10.601622581481934,3590,0.2,2543,360,33.72385308742523,3.8414249047636986,0.8120786
1000.0,148,378880,0.00025,0.9649347066879272,0.017885715226293543,0.82177734375,0.1294599324464798,837.4660391000001,13.321845054626465,3690,0.2,2545,370,29.263329291343688,3.7694176718592645,1.2601569
